name,team,position,pass_comp,pass_att,pass_yards,pass_tds,pass_ints,rush_att,rush_yards,rush_tds,receptions,rec_yards,rec_tds,two_pt_conv,fum_lost,fum_rec_td,points,points_ppr,birthdate
Chris Hogan,BUF,WR,0,0,0,0,0,0,0,0,41,426,4,0,2,0,62.60,103.60,10/24/88
Cole Beasley,DAL,WR,0,0,0,0,0,0,0,0,37,420,4,0,2,0,62.00,99.00,4/26/89
Steve Johnson,SF,WR,0,0,0,0,0,0,0,0,35,435,3,0,0,0,61.50,96.50,7/22/86
Jermaine Kearse,SEA,WR,1,1,17,0,0,2,15,0,38,537,1,0,0,0,61.88,99.88,2/6/90
Cordarrelle Patterson,MIN,WR,0,0,0,0,0,10,117,1,33,384,1,0,1,0,60.10,93.10,3/17/91
Cecil Shorts,JAC,WR,2,2,32,1,0,0,0,0,53,557,1,0,1,0,64.98,117.98,12/22/87
Brian Hartline,MIA,WR,0,0,0,0,0,0,0,0,39,474,2,0,0,0,59.40,98.40,11/22/86
Charles Johnson,MIN,WR,0,0,0,0,0,1,-11,0,31,475,2,1,0,0,60.40,91.40,2/27/89
Wes Welker,DEN,WR,0,0,0,0,0,0,0,0,49,464,2,0,0,0,58.40,107.40,5/1/81
Tavon Austin,STL,WR,0,0,0,0,0,36,224,2,32,242,0,0,0,0,58.60,90.60,3/15/91
Jeremy Kerley,NYJ,WR,0,1,0,0,0,4,86,0,38,409,1,0,0,0,55.50,93.50,11/8/88
Brian Quick,STL,WR,0,0,0,0,0,0,0,0,25,375,3,0,0,0,55.50,80.50,6/5/89
Andre Roberts,WAS,WR,0,0,0,0,0,2,21,0,36,453,2,0,2,0,55.40,91.40,1/9/88
Preston Parker,NYG,WR,0,0,0,0,0,0,0,0,36,418,2,0,1,0,51.80,87.80,2/13/87
Stedman Bailey,STL,WR,0,0,0,0,0,1,13,0,30,435,1,0,0,0,50.80,80.80,11/11/90
Travis Benjamin,CLE,WR,0,0,0,0,0,3,11,0,18,314,3,0,0,0,50.50,68.50,12/29/89
Louis Murphy,TB,WR,0,0,0,0,0,0,0,0,31,380,2,0,0,0,50.00,81.00,5/11/87
Philly Brown,CAR,WR,0,0,0,0,0,8,95,0,21,296,2,0,1,0,49.10,70.10,12/16/91
Marqise Lee,JAC,WR,0,0,0,0,0,3,9,0,37,422,1,0,0,0,49.10,86.10,11/25/91
Kamar Aiken,BAL,WR,0,0,0,0,0,0,0,0,24,267,3,0,0,0,44.70,68.70,5/30/89
Jason Avant,CAR,WR,0,0,0,0,0,1,1,0,34,353,1,0,0,0,41.40,75.40,4/20/83
Damaris Johnson,HOU,WR,0,0,0,0,0,5,19,0,31,331,1,0,0,0,41.00,72.00,11/22/89
Brice Butler,OAK,WR,0,0,0,0,0,0,0,0,21,280,2,0,0,0,40.00,61.00,1/29/90
Victor Cruz,NYG,WR,0,0,0,0,0,0,0,0,23,337,1,0,0,0,39.70,62.70,11/11/86
Dexter McCluster,TEN,WR,0,0,0,0,0,40,131,0,26,197,1,0,1,0,36.80,62.80,8/25/88
Brandon Gibson,MIA,WR,0,0,0,0,0,0,0,0,29,295,1,0,0,0,35.50,64.50,8/13/87
Brandon Lloyd,SF,WR,0,0,0,0,0,0,0,0,14,294,1,0,0,0,35.40,49.40,7/5/81
Amari Cooper,OAK,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,6/18/94
Kevin White,CHI,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,6/25/92
Nelson Agholor,PHI,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,5/24/93
Breshad Perriman,BAL,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,9/10/93
DeVante Parker,MIA,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,1/20/93
Cody Latimer,DEN,WR,0,0,0,0,0,0,0,0,2,23,0,0,0,0,2.30,4.30,10/10/92
Dorial Green-Beckham,TEN,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,4/12/93
Marvin Jones,CIN,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,3/12/90
Jaelen Strong,HOU,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,1/25/94
Tyler Lockett,SEA,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,9/28/92
Devin Funchess,CAR,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,5/21/94
Nick Toon,NO,WR,0,0,0,0,0,1,4,0,17,215,1,0,1,0,25.90,42.90,11/4/88
Devin Smith,NYJ,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,3/3/92
Phillip Dorsett,IND,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,1/5/93
Sammie Coates,PIT,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,3/31/93
Justin Blackmon,JAC,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,1/9/90
Rob Gronkowski,NE,TE,0,0,0,0,0,0,0,0,82,1124,12,0,0,0,184.40,266.40,5/14/89
Antonio Gates,SD,TE,0,0,0,0,0,0,0,0,69,821,12,0,0,0,154.10,223.10,6/18/80
Jimmy Graham,NO,TE,0,0,0,0,0,0,0,0,85,889,10,0,2,0,144.90,229.90,11/24/86
Greg Olsen,CAR,TE,0,0,0,0,0,0,0,0,84,1008,6,0,0,0,136.80,220.80,3/11/85
Martellus Bennett,CHI,TE,0,0,0,0,0,0,0,0,90,916,6,2,0,0,131.60,221.60,3/10/87
Coby Fleener,IND,TE,0,0,0,0,0,0,0,0,51,774,8,0,0,0,125.40,176.40,9/20/88
Julius Thomas,DEN,TE,0,0,0,0,0,0,0,0,43,489,12,0,0,0,120.90,163.90,6/27/88
Delanie Walker,TEN,TE,0,0,0,0,0,0,0,0,63,890,4,0,0,0,113.00,176.00,8/12/84
Travis Kelce,KC,TE,0,0,0,0,0,0,0,0,67,862,5,0,3,1,116.20,183.20,10/5/89
Jason Witten,DAL,TE,0,0,0,0,0,0,0,0,64,703,5,0,0,0,100.30,164.30,5/6/82
Heath Miller,PIT,TE,0,0,0,0,0,0,0,0,66,761,3,1,1,0,94.10,160.10,10/22/82
Larry Donnell,NYG,TE,0,0,0,0,0,0,0,0,63,623,6,0,4,0,90.30,153.30,11/1/88
Dwayne Allen,IND,TE,0,0,0,0,0,0,0,0,29,395,8,0,0,0,87.50,116.50,2/24/90
Zach Ertz,PHI,TE,0,0,0,0,0,0,0,0,58,702,3,0,1,0,86.20,144.20,11/10/90
Jared Cook,STL,TE,0,0,0,0,0,0,0,0,52,634,3,0,0,0,81.40,133.40,4/7/87
Charles Clay,MIA,TE,0,0,0,0,0,0,0,0,58,605,3,0,0,0,78.50,136.50,2/13/89
Owen Daniels,BAL,TE,0,0,0,0,0,0,0,0,48,527,4,0,0,0,76.70,124.70,11/9/82
Jermaine Gresham,CIN,TE,0,0,0,0,0,0,0,0,62,460,5,0,0,0,76.00,138.00,6/16/88
Mychal Rivera,OAK,TE,0,0,0,0,0,0,0,0,58,534,4,0,1,0,75.40,133.40,9/8/90
Scott Chandler,BUF,TE,0,0,0,0,0,0,0,0,47,497,3,0,0,0,67.70,114.70,7/23/85
Tim Wright,NE,TE,0,0,0,0,0,1,-2,0,26,259,6,0,0,0,61.70,87.70,4/7/90
Lance Kendricks,STL,TE,0,0,0,0,0,0,0,0,27,259,5,0,0,0,55.90,82.90,1/30/88
Niles Paul,WAS,TE,0,0,0,0,0,0,0,0,39,507,1,0,1,0,54.70,93.70,8/9/89
Jordan Cameron,CLE,TE,0,0,0,0,0,0,0,0,24,424,2,0,0,0,54.40,78.40,8/7/88
Luke Willson,SEA,TE,0,0,0,0,0,0,0,0,22,362,3,0,0,0,54.20,76.20,1/15/90
Andrew Quarless,GB,TE,0,0,0,0,0,0,0,0,29,323,3,0,0,0,50.30,79.30,10/6/88
Josh Hill,NO,TE,0,0,0,0,0,0,0,0,14,176,5,0,0,0,47.60,61.60,5/21/90
Anthony Fasano,KC,TE,0,0,0,0,0,0,0,0,25,226,4,0,0,0,46.60,71.60,4/20/84
Jace Amaro,NYJ,TE,0,0,0,0,0,0,0,0,38,345,2,0,0,0,46.50,84.50,6/26/92
Jordan Reed,WAS,TE,0,0,0,0,0,0,0,0,50,465,0,0,1,0,44.50,94.50,7/3/90
Jeff Cumberland,NYJ,TE,0,0,0,0,0,0,0,0,23,247,3,0,0,0,42.70,65.70,5/2/87
John Carlson,ARI,TE,0,0,0,0,0,0,0,0,33,350,1,1,0,0,43.00,76.00,5/12/84
Daniel Fells,NYG,TE,0,0,0,0,0,0,0,0,16,188,4,0,1,0,40.80,56.80,9/23/83
Dion Sims,MIA,TE,0,0,0,0,0,0,0,0,24,284,2,0,0,0,40.40,64.40,2/18/91
Brent Celek,PHI,TE,0,0,0,0,0,0,0,0,32,340,1,0,1,0,38.00,70.00,1/25/85
Vernon Davis,SF,TE,0,0,0,0,0,1,4,0,26,245,2,0,0,0,36.90,62.90,1/31/84
Kyle Rudolph,MIN,TE,0,0,0,0,0,0,0,0,24,231,2,0,0,0,35.10,59.10,11/9/89
Clay Harbor,JAC,TE,0,0,0,0,0,0,0,0,26,289,1,0,0,0,34.90,60.90,7/2/87
Gavin Escobar,DAL,TE,0,0,0,0,0,0,0,0,9,105,4,0,0,0,34.50,43.50,2/3/91
Richard Rodgers,GB,TE,0,0,0,0,0,0,0,0,20,225,2,0,0,0,34.50,54.50,1/22/92
Levine Toilolo,ATL,TE,0,0,0,0,0,0,0,0,31,238,2,0,1,0,33.80,64.80,7/30/91
Marcedes Lewis,JAC,TE,0,0,0,0,0,0,0,0,18,206,2,0,0,0,32.60,50.60,5/19/84
Austin Seferian-Jenkins,TB,TE,0,0,0,0,0,0,0,0,21,221,2,0,1,0,32.10,53.10,9/29/92
Chase Ford,MIN,TE,0,0,0,0,0,0,0,0,23,258,1,0,0,0,31.80,54.80,7/19/90
Eric Ebron,DET,TE,0,0,0,0,0,0,0,0,25,248,1,0,0,0,30.80,55.80,4/10/93
Cooper Helfet,SEA,TE,0,0,0,0,0,0,0,0,12,185,2,0,0,0,30.50,42.50,6/2/89
Jim Dray,CLE,TE,0,0,0,0,0,0,0,0,17,242,1,0,0,0,30.20,47.20,12/31/86
Rhett Ellison,MIN,TE,0,0,0,0,0,0,0,0,19,208,1,1,0,0,28.80,47.80,10/3/88
Garrett Graham,HOU,TE,0,0,0,0,0,0,0,0,18,197,1,0,0,0,25.70,43.70,8/4/86
Ben Watson,NO,TE,0,0,0,0,0,0,0,0,20,136,2,0,0,0,25.60,45.60,12/18/80
Maxx Williams,BAL,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,4/12/94
Jacob Tamme,ATL,TE,0,0,0,0,0,0,0,0,14,109,2,0,1,0,20.90,34.90,3/15/85
Virgil Green,DEN,TE,0,0,0,0,0,2,3,0,6,74,1,0,0,0,13.70,19.70,8/3/88
Ladarius Green,SD,TE,0,0,0,0,0,0,0,0,19,226,0,0,0,0,22.60,41.60,5/29/90
